id,hashtag,collected_at,is_relevant
1,#gardenmom,2025-09-24 13:54:28.033417,True
2,#greenbeans,2025-09-24 13:54:28.033670,True
3,#fylシ,2025-09-24 13:54:28.033685,True
4,#virginiagardner,2025-09-24 13:54:28.033693,True
5,#foodblogger,2025-09-24 13:54:28.033698,True
6,#sunrise,2025-09-24 13:54:28.033702,True
7,#greenhouse,2025-09-24 13:54:28.033707,True
8,#tips,2025-09-24 13:54:28.033712,True
9,#foodtok,2025-09-24 13:54:28.033717,True
10,#gardengoals,2025-09-24 13:54:28.033721,True
11,#plants,2025-09-24 13:54:28.033726,True
12,#herbs,2025-09-24 13:54:28.033731,True
13,#tip,2025-09-24 13:54:28.033736,True
14,#growyourown,2025-09-24 13:54:28.033741,True
15,#herbgarden,2025-09-24 13:54:28.033746,True
16,#1,2025-09-24 13:54:28.033751,True
17,#gardenlife,2025-09-24 13:54:28.033755,True
18,#green,2025-09-24 13:54:28.033760,True
19,#greenqueens,2025-09-24 13:54:28.033765,True
20,#farming,2025-09-24 13:54:28.033770,True
21,#cleaning,2025-09-24 13:54:28.033775,True
22,#Gardeners,2025-09-24 13:54:28.033779,True
23,#fruit,2025-09-24 13:54:28.033784,True
24,#freshvegetables,2025-09-24 13:54:28.033789,True
25,#gardenwithme,2025-09-24 13:54:28.033794,True
26,#goodmorning,2025-09-24 13:54:28.033799,True
27,#planting,2025-09-24 13:54:28.033804,True
28,#flamingotok🦩,2025-09-24 13:54:28.033809,True
29,#Garden,2025-09-24 13:54:28.033814,True
30,#gardener,2025-09-24 13:54:28.033819,True
31,#beginnergardener,2025-09-24 13:54:28.033824,True
32,#therapy,2025-09-24 13:54:28.033829,True
33,#wildcraft,2025-09-24 13:54:28.033834,True
34,#greenspaces,2025-09-24 13:54:28.033838,True
35,#fact,2025-09-24 13:54:28.033843,True
36,#gardenproject,2025-09-24 13:54:28.033848,True
37,#regenerative,2025-09-24 13:54:28.033853,True
38,#clean,2025-09-24 13:54:28.033858,True
39,#vegetables,2025-09-24 13:54:28.033863,True
40,#urbangardening,2025-09-24 13:54:28.033868,True
41,#hobbies,2025-09-24 13:54:28.033873,True
42,#homebody,2025-09-24 13:54:28.033877,True
43,#organic,2025-09-24 13:54:28.033882,True
44,#viral,2025-09-24 13:54:28.033887,True
45,#produce,2025-09-24 13:54:28.033892,True
46,#newgardener,2025-09-24 13:54:28.033897,True
47,#Gardening,2025-09-24 13:54:28.033902,True
48,#nature,2025-09-24 13:54:28.033907,True
49,#educational,2025-09-24 13:54:28.033912,True
50,#outdoors,2025-09-24 13:54:28.033916,True
51,#beginner,2025-09-24 13:54:28.033921,True
52,#plant,2025-09-24 13:54:28.033926,True
53,#ag,2025-09-24 13:54:28.033931,True
54,#motivation,2025-09-24 13:54:28.033936,True
55,#Gardner,2025-09-24 13:54:28.033940,True
56,#survival,2025-09-24 13:54:28.033945,True
57,#homesteadlife,2025-09-24 13:54:28.033950,True
58,#homestead,2025-09-24 13:54:28.033955,True
59,#gardentok,2025-09-24 13:54:28.033960,True
60,#gardening,2025-09-24 13:54:28.033964,True
61,#gardening101,2025-09-24 13:54:28.033969,True
62,#happy,2025-09-24 13:54:28.033974,True
63,#watermelon,2025-09-24 13:54:28.033979,True
64,#duet,2025-09-24 13:54:28.033984,True
65,#garden,2025-09-24 13:54:28.033988,True
66,#funfact,2025-09-24 13:54:28.033993,True
67,#backyardgarden,2025-09-24 13:54:28.033998,True
68,#floridagardens,2025-09-24 13:54:28.034003,True
69,#energy,2025-09-24 13:54:28.034008,True
70,#iykyk,2025-09-24 13:54:28.034012,True
71,#backyard,2025-09-24 13:54:28.034017,True
72,#food,2025-09-24 13:54:28.034022,True
73,#gardeningtips,2025-09-24 13:54:28.034027,True
74,#harvest,2025-09-24 13:54:28.034032,True
75,#growyourfood,2025-09-24 13:54:28.034036,True
76,#cleantok,2025-09-24 13:54:28.034060,True
77,#june,2025-09-24 13:54:28.034067,True
78,#theelderswantahashtagtoo🦩,2025-09-24 13:54:28.034072,True
79,#summer,2025-09-24 13:54:28.034078,True
80,#farmer,2025-09-24 13:54:28.034082,True
81,#GardenWithMe,2025-09-24 13:54:28.034087,True
82,#raisedbeds,2025-09-24 13:54:28.034092,True
83,#gardentools,2025-09-24 13:54:28.034097,True
84,#foodie,2025-09-24 13:54:28.034101,True
85,#facts,2025-09-24 13:54:28.034106,True
86,#homegarden,2025-09-24 13:54:28.034111,True
87,#flowers,2025-09-24 13:54:28.034116,True
88,#grandpa,2025-09-24 13:54:28.034121,True
89,#spring,2025-09-24 13:54:28.034126,True
90,#homegrown,2025-09-24 13:54:28.034131,True
91,#agriculture,2025-09-24 13:54:28.034135,True
92,#sagesmokesurvival,2025-09-24 13:54:28.034140,True
93,#gardentips,2025-09-24 13:54:28.034145,True
94,#funfacts,2025-09-24 13:54:28.034150,True
95,#helpful,2025-09-24 13:54:28.034173,True
96,#café,2025-09-24 13:54:44.652705,True
97,#new,2025-09-24 13:54:44.652910,True
98,#home,2025-09-24 13:54:44.652921,True
99,#reveal,2025-09-24 13:54:44.652925,True
100,#smartdevices,2025-09-24 13:54:44.652928,True
101,#shop,2025-09-24 13:54:44.652931,True
102,#gadget,2025-09-24 13:54:44.652934,True
103,#goodthings,2025-09-24 13:54:44.652937,True
104,#trending,2025-09-24 13:54:44.652940,True
105,#homegadget,2025-09-24 13:54:44.652943,True
106,#induction,2025-09-24 13:54:44.652945,True
107,#samsung,2025-09-24 13:54:44.652948,True
108,#decoration,2025-09-24 13:54:44.652951,True
109,#creative,2025-09-24 13:54:44.652954,True
110,#karanicoleclark,2025-09-24 13:54:44.652957,True
111,#homehacks,2025-09-24 13:54:44.652960,True
112,#smartdesign,2025-09-24 13:54:44.652963,True
113,#household,2025-09-24 13:54:44.652965,True
114,#designhack,2025-09-24 13:54:44.652968,True
115,#smartgadgets,2025-09-24 13:54:44.652971,True
116,#homestyling,2025-09-24 13:54:44.652974,True
117,#office,2025-09-24 13:54:44.652977,True
118,#newhome,2025-09-24 13:54:44.652979,True
119,#easytouse,2025-09-24 13:54:44.652982,True
120,#homebuilds,2025-09-24 13:54:44.652985,True
121,#ge,2025-09-24 13:54:44.652988,True
122,#aesthetic,2025-09-24 13:54:44.652991,True
123,#furniture,2025-09-24 13:54:44.652993,True
124,#cafe,2025-09-24 13:54:44.652996,True
125,#homegadgets,2025-09-24 13:54:44.652999,True
126,#boss,2025-09-24 13:54:44.653002,True
127,#speed,2025-09-24 13:54:44.653005,True
128,#shots,2025-09-24 13:54:44.653008,True
129,#stonehouse,2025-09-24 13:54:44.653011,True
130,#lifehack,2025-09-24 13:54:44.653014,True
131,#interiordesign,2025-09-24 13:54:44.653016,True
132,#cleaning,2025-09-24 13:54:44.653019,True
133,#homedesign,2025-09-24 13:54:44.653022,True
134,#cool,2025-09-24 13:54:44.653025,True
135,#microwave,2025-09-24 13:54:44.653028,True
136,#korean,2025-09-24 13:54:44.653031,True
137,#design,2025-09-24 13:54:44.653034,True
138,#homebuild,2025-09-24 13:54:44.653036,True
139,#movein,2025-09-24 13:54:44.653039,True
140,#smarthome,2025-09-24 13:54:44.653060,True
141,#supply,2025-09-24 13:54:44.653063,True
142,#icemaker,2025-09-24 13:54:44.653066,True
143,#tools,2025-09-24 13:54:44.653069,True
144,#lifestyle,2025-09-24 13:54:44.653072,True
145,#homedecor,2025-09-24 13:54:44.653074,True
146,#homebody,2025-09-24 13:54:44.653077,True
147,#renovating,2025-09-24 13:54:44.653080,True
148,#3,2025-09-24 13:54:44.653083,True
149,#gadgets,2025-09-24 13:54:44.653086,True
150,#viral,2025-09-24 13:54:44.653089,True
151,#coolsmarthomegadgets,2025-09-24 13:54:44.653091,True
152,#satisfying,2025-09-24 13:54:44.653094,True
153,#beautifulbydrew,2025-09-24 13:54:44.653098,True
154,#cleanwithme,2025-09-24 13:54:44.653101,True
155,#goodcar,2025-09-24 13:54:44.653104,True
156,#homebodylife,2025-09-24 13:54:44.653107,True
157,#chinese,2025-09-24 13:54:44.653109,True
158,#decor,2025-09-24 13:54:44.653112,True
159,#appliances,2025-09-24 13:54:44.653115,True
160,#homemusthave,2025-09-24 13:54:44.653118,True
161,#luxury,2025-09-24 13:54:44.653121,True
162,#beautifulbydrewbarrymore,2025-09-24 13:54:44.653124,True
163,#electrickettle,2025-09-24 13:54:44.653127,True
164,#besthomeitems,2025-09-24 13:54:44.653129,True
165,#foryou🤍,2025-09-24 13:54:44.653132,True
166,#smartdecor,2025-09-24 13:54:44.653136,True
167,#recommend,2025-09-24 13:54:44.653139,True
168,#goodvehicle,2025-09-24 13:54:44.653141,True
169,#china,2025-09-24 13:54:44.653144,True
170,#temu,2025-09-24 13:54:44.653147,True
171,#onlineshop,2025-09-24 13:54:44.653150,True
172,#summermusthaves,2025-09-24 13:54:44.653153,True
173,#buildingjourney,2025-09-24 13:54:44.653155,True
174,#bestbuy,2025-09-24 13:54:44.653158,True
175,#foryou,2025-09-24 13:54:44.653161,True
176,#work,2025-09-24 13:54:44.653164,True
177,#upgrade,2025-09-24 13:54:44.653167,True
178,#automobile,2025-09-24 13:54:44.653169,True
179,#newhouse,2025-09-24 13:54:44.653172,True
180,#bestfinds,2025-09-24 13:54:44.653175,True
